"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"6","1313","131","1.000000","-0.032741","6","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.239655","6","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","-0.432010","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","-0.274903","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","-0.158616","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","-0.004216","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.472360","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.202489","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.385671","6","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","-0.286563","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","-0.194688","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.155608","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.254667","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.007067","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.427035","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.088711","7","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","-0.082424","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","-0.042701","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.085686","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.016139","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","-0.381531","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.196890","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","-0.231721","7","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.451092","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.140287","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.283956","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.210941","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.075444","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.354368","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.127432","8","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.768750","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.197011","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.441357","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.207621","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.206556","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.504257","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.481141","8","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.251657","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.167765","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.292500","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.059939","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.061337","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.115365","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.094221","9","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.139915","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.016773","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.063505","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.061816","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.099324","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","-0.211995","9","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
