"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"4","743","74","1.000000","1.155074","4","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","1.107823","4","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.427614","4","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.842285","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.565689","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.833886","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.027795","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","2.141084","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","2.289867","4","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.562247","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.452682","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.504135","4","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
