"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"6","370","50","1.000000","0.794456","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.643267","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.101825","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.543862","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","2.090736","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.599153","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.474259","5","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.059783","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.211778","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.731303","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.236881","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.023136","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.320197","5","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.286474","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.840032","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.401936","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.337217","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","1.530984","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.000971","6","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.080884","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.657324","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.043631","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.073661","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","1.289226","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.808547","6","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.205589","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.182708","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.358305","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.263556","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.241758","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.192425","6","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","2.517509","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.284999","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.369473","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","2.53241","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","2.417917","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.529909","7","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","2.478024","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.249845","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.331235","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","2.886052","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","2.719838","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.627947","7","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.039485","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.035154","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.038238","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","-0.353642","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","-0.301921","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","-0.098038","7","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.632802","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.023107","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","-0.250478","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","2.991853","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","3.126447","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.101291","8","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
