"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"15","2065","206","1.000000","-0.102371","4","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.036759","4","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.273284","4","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.167710","4","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","-0.036613","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","-0.125809","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.318592","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.040630","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.218806","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","-0.059623","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","0.091926","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","-0.055316","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.048599","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","0.073985","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","0.385094","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","-0.012181","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.270737","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","0.151435","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","0.191218","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","0.274773","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","0.393451","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","0.163695","4","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","0.047954","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","-0.035706","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","-0.239619","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","-0.312809","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","-0.096910","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","-0.212925","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","-0.123429","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"8","3381","338","1.000000","-0.314793","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"9","1858","185","1.000000","0.023494","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"10","1770","177","1.000000","-0.013706","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"11","2147","214","1.000000","-0.192745","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"12","2371","237","1.000000","-0.270424","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"13","2447","244","1.000000","0.016567","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"14","1345","134","1.000000","-0.047264","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"15","2065","206","1.000000","-0.175867","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"16","2222","222","1.000000","-0.223890","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"17","1615","161","1.000000","-0.042963","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"18","1958","195","1.000000","-0.073687","5","1","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1038","103","1.000000","-0.009297","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","1399","139","1.000000","-0.052277","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","4863","486","1.000000","0.097759","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","5104","510","1.000000","0.033938","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","888","88","1.000000","0.116757","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1015","101","1.000000","0.126995","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","3526","352","1.000000","-0.016247","5","2","SplitHalf_MDfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
