"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"6","1313","131","1.000000","0.643242","12","3"
"7","4051","405","1.000000","0.33328","12","3"
"1","1885","188","1.000000","-0.142337","13","1"
"2","3322","332","1.000000","-0.503982","13","1"
"3","1525","152","1.000000","-0.725337","13","1"
"4","4182","418","1.000000","-0.353521","13","1"
"5","3419","341","1.000000","-0.551017","13","1"
"6","1313","131","1.000000","0.773193","13","1"
"7","4051","405","1.000000","-0.028141","13","1"
"1","1885","188","1.000000","-0.973927","13","2"
"2","3322","332","1.000000","-0.699959","13","2"
"3","1525","152","1.000000","-1.548124","13","2"
"4","4182","418","1.000000","-0.621785","13","2"
"5","3419","341","1.000000","-0.782178","13","2"
"6","1313","131","1.000000","0.174765","13","2"
"7","4051","405","1.000000","-0.079897","13","2"
"1","1885","188","1.000000","0.83159","13","3"
"2","3322","332","1.000000","0.195977","13","3"
"3","1525","152","1.000000","0.822787","13","3"
"4","4182","418","1.000000","0.268264","13","3"
"5","3419","341","1.000000","0.231162","13","3"
"6","1313","131","1.000000","0.598428","13","3"
"7","4051","405","1.000000","0.051756","13","3"
"1","1885","188","1.000000","-0.975383","14","1"
"2","3322","332","1.000000","0.344914","14","1"
"3","1525","152","1.000000","-0.705098","14","1"
"4","4182","418","1.000000","-0.540454","14","1"
"5","3419","341","1.000000","-0.318677","14","1"
"6","1313","131","1.000000","-0.648105","14","1"
"7","4051","405","1.000000","-0.307358","14","1"
"1","1885","188","1.000000","-0.762953","14","2"
"2","3322","332","1.000000","0.207631","14","2"
"3","1525","152","1.000000","-0.647734","14","2"
"4","4182","418","1.000000","-0.658429","14","2"
"5","3419","341","1.000000","-0.4629","14","2"
"6","1313","131","1.000000","-0.809114","14","2"
"7","4051","405","1.000000","-0.280504","14","2"
"1","1885","188","1.000000","-0.21243","14","3"
"2","3322","332","1.000000","0.137283","14","3"
"3","1525","152","1.000000","-0.057365","14","3"
"4","4182","418","1.000000","0.117974","14","3"
"5","3419","341","1.000000","0.144224","14","3"
"6","1313","131","1.000000","0.161008","14","3"
"7","4051","405","1.000000","-0.026853","14","3"
"1","1885","188","1.000000","2.212271","15","1"
"2","3322","332","1.000000","1.560961","15","1"
"3","1525","152","1.000000","1.107949","15","1"
"4","4182","418","1.000000","-0.035747","15","1"
"5","3419","341","1.000000","0.206679","15","1"
"6","1313","131","1.000000","0.466963","15","1"
"7","4051","405","1.000000","0.316956","15","1"
"1","1885","188","1.000000","1.397489","15","2"
"2","3322","332","1.000000","1.120831","15","2"
"3","1525","152","1.000000","0.47423","15","2"
"4","4182","418","1.000000","-0.025753","15","2"
"5","3419","341","1.000000","0.147299","15","2"
"6","1313","131","1.000000","-0.082142","15","2"
"7","4051","405","1.000000","0.341878","15","2"
"1","1885","188","1.000000","0.814782","15","3"
"2","3322","332","1.000000","0.44013","15","3"
"3","1525","152","1.000000","0.633719","15","3"
"4","4182","418","1.000000","-0.009995","15","3"
"5","3419","341","1.000000","0.059379","15","3"
"6","1313","131","1.000000","0.549105","15","3"
"7","4051","405","1.000000","-0.024922","15","3"
"1","1885","188","1.000000","-1.054695","16","1"
"2","3322","332","1.000000","0.1372","16","1"
"3","1525","152","1.000000","-0.818773","16","1"
"4","4182","418","1.000000","-0.187819","16","1"
"5","3419","341","1.000000","-0.491273","16","1"
"6","1313","131","1.000000","-0.693927","16","1"
"7","4051","405","1.000000","0.096519","16","1"
