"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"6","1313","131","1.000000","0.278829","8","3"
"7","4051","405","1.000000","0.577509","8","3"
"1","1885","188","1.000000","-0.519297","8","4"
"2","3322","332","1.000000","0.931143","8","4"
"3","1525","152","1.000000","-1.09968","8","4"
"4","4182","418","1.000000","-0.550754","8","4"
"5","3419","341","1.000000","0.257311","8","4"
"6","1313","131","1.000000","0.214165","8","4"
"7","4051","405","1.000000","-0.251158","8","4"
"1","1885","188","1.000000","-0.790711","8","5"
"2","3322","332","1.000000","0.179862","8","5"
"3","1525","152","1.000000","-0.672127","8","5"
"4","4182","418","1.000000","-0.047281","8","5"
"5","3419","341","1.000000","-0.265316","8","5"
"6","1313","131","1.000000","-0.127525","8","5"
"7","4051","405","1.000000","-0.060848","8","5"
"1","1885","188","1.000000","-0.263542","9","1"
"2","3322","332","1.000000","-0.264573","9","1"
"3","1525","152","1.000000","1.045323","9","1"
"4","4182","418","1.000000","-0.514903","9","1"
"5","3419","341","1.000000","-0.11153","9","1"
"6","1313","131","1.000000","-1.320256","9","1"
"7","4051","405","1.000000","0.532954","9","1"
"1","1885","188","1.000000","-0.272449","9","2"
"2","3322","332","1.000000","-0.195066","9","2"
"3","1525","152","1.000000","-0.324847","9","2"
"4","4182","418","1.000000","-0.49256","9","2"
"5","3419","341","1.000000","-0.076889","9","2"
"6","1313","131","1.000000","-0.57034","9","2"
"7","4051","405","1.000000","0.482971","9","2"
"1","1885","188","1.000000","-0.608166","9","3"
"2","3322","332","1.000000","-0.091314","9","3"
"3","1525","152","1.000000","-0.507294","9","3"
"4","4182","418","1.000000","-0.565497","9","3"
"5","3419","341","1.000000","-0.133957","9","3"
"6","1313","131","1.000000","-0.413408","9","3"
"7","4051","405","1.000000","0.502767","9","3"
"1","1885","188","1.000000","-1.425854","9","4"
"2","3322","332","1.000000","-0.313002","9","4"
"3","1525","152","1.000000","-3.806745","9","4"
"4","4182","418","1.000000","-0.888822","9","4"
"5","3419","341","1.000000","-0.224597","9","4"
"6","1313","131","1.000000","-0.90431","9","4"
"7","4051","405","1.000000","0.562935","9","4"
"1","1885","188","1.000000","-0.344624","9","5"
"2","3322","332","1.000000","0.173259","9","5"
"3","1525","152","1.000000","-1.552616","9","5"
"4","4182","418","1.000000","-0.050594","9","5"
"5","3419","341","1.000000","-0.022427","9","5"
"6","1313","131","1.000000","0.906849","9","5"
"7","4051","405","1.000000","-0.030187","9","5"
"1","1885","188","1.000000","-0.601499","10","1"
"2","3322","332","1.000000","0.480383","10","1"
"3","1525","152","1.000000","0.184096","10","1"
"4","4182","418","1.000000","0.611159","10","1"
"5","3419","341","1.000000","0.181448","10","1"
"6","1313","131","1.000000","0.046601","10","1"
"7","4051","405","1.000000","-0.00695","10","1"
"1","1885","188","1.000000","0.478575","10","2"
